Event{id=93, msg='1: Ivan Petrov', date=13.10.2019 23:26:20}
Event{id=21, msg='1: Ivan Petrov', date=13.10.2019 23:26:20}
Event{id=67, msg='1: Ivan Petrov', date=13.10.2019 23:26:28}
Event{id=60, msg='1: Ivan Petrov', date=13.10.2019 23:26:28}
Event{id=12, msg='1: Ivan Petrov', date=13.10.2019 23:27:03}
Event{id=12, msg='1: Ivan Petrov', date=13.10.2019 23:27:03}
Event{id=12, msg='1: Ivan Petrov', date=13.10.2019 23:27:03}
Event{id=12, msg='1: Ivan Petrov', date=13.10.2019 23:27:03}
Event{id=36, msg='1: Ivan Petrov', date=13.10.2019 23:27:42}
Event{id=18, msg='1: Ivan Petrov', date=13.10.2019 23:27:42}
Event{id=44, msg='1: Ivan Petrov', date=13.10.2019 23:27:42}
Event{id=14, msg='1: Ivan Petrov', date=13.10.2019 23:27:42}
